Class,Precision,Recall,F1
0,0.9612326043737575,0.986734693877551,0.973816717019134
1,0.9774305555555556,0.9920704845814978,0.9846961084390031
2,0.9709302325581395,0.9709302325581395,0.9709302325581395
3,0.9713721618953604,0.9742574257425742,0.9728126544735541
4,0.9823834196891191,0.9653767820773931,0.9738058551617874
5,0.9695259593679458,0.9630044843049327,0.9662542182227222
6,0.9739583333333334,0.975991649269311,0.9749739311783108
7,0.961764705882353,0.9542801556420234,0.9580078125
8,0.9636174636174636,0.9517453798767967,0.9576446280991736
9,0.9581673306772909,0.9534192269573836,0.9557873820168903
